RC_ID,H3_count,Retail_N,Area_km2
RC_EW_1771,69,184,0.133592493
RC_EW_1781,140,690,0.270713859
RC_EW_1786,31,146,0.059995567
RC_EW_1787,62,194,0.120080768
RC_EW_1789,163,478,0.315398967
RC_EW_1796,80,309,0.15491149
RC_EW_18,20,109,0.041488238
RC_EW_1804,37,210,0.071568434
RC_EW_1806,149,617,0.28833825
RC_EW_1807,46,144,0.088980336
RC_EW_1810,62,246,0.119807395
RC_EW_1819,90,293,0.174124307
RC_EW_1821,76,325,0.147106908
RC_EW_1824,29,150,0.056196502
RC_EW_183,208,1061,0.388813536
RC_EW_1830,85,579,0.164471322
RC_EW_1834,58,172,0.112222611
RC_EW_1835,41,208,0.079373645
RC_EW_1837,61,207,0.118076336
RC_EW_184,96,278,0.179569022
RC_EW_1845,144,484,0.278629977
RC_EW_1846,44,196,0.085260729
RC_EW_1859,67,233,0.129524886
RC_EW_1865,240,104,0.462634816
RC_EW_1866,56,137,0.108178912
RC_EW_1872,71,48,0.137048153
RC_EW_1873,4,61,0.007747796
RC_EW_1876,41,248,0.079240212
RC_EW_188,96,28,0.179393945
RC_EW_1881,72,233,0.139014944
RC_EW_1885,57,155,0.109980635
RC_EW_1890,44,154,0.084937953
RC_EW_1897,89,231,0.171712723
RC_EW_1921,24,142,0.046357972
RC_EW_1922,17,82,0.032882209
RC_EW_1923,338,1537,0.652261955
RC_EW_1927,185,1075,0.357619287
RC_EW_1935,78,332,0.150812234
RC_EW_1937,104,274,0.200918725
RC_EW_1938,106,363,0.204797933
RC_EW_1941,142,567,0.274325959
RC_EW_1951,26,202,0.050316292
RC_EW_1953,52,151,0.100618028
RC_EW_1956,1481,9182,2.860441568
RC_EW_1961,15,48,0.029049598
RC_EW_1967,18,91,0.034795697
RC_EW_1975,200,446,0.38621091
RC_EW_1979,353,1047,0.68129123
RC_EW_1980,58,330,0.112011935
RC_EW_1983,31,108,0.059894787
RC_EW_1988,35,103,0.067680168
RC_EW_20,40,179,0.082780541
RC_EW_2017,125,323,0.241156063
RC_EW_2033,124,353,0.240365814
RC_EW_2036,79,306,0.153086608
RC_EW_2043,155,586,0.300291169
RC_EW_2048,117,53,0.226664222
RC_EW_2049,62,197,0.12020795
RC_EW_2054,61,192,0.118239883
RC_EW_2060,59,147,0.114440948
RC_EW_2067,213,449,0.413061043
RC_EW_2068,34,137,0.06597163
RC_EW_2080,35,86,0.067924072
RC_EW_2085,65,247,0.126121476
RC_EW_2095,222,759,0.430162074
RC_EW_21,48,146,0.099422567
RC_EW_2112,237,828,0.459092507
RC_EW_2118,91,389,0.176195511
RC_EW_2121,312,1161,0.603664101
RC_EW_2126,70,161,0.135568313
RC_EW_2128,19,121,0.036860463
RC_EW_2129,99,338,0.191677822
RC_EW_2141,143,721,0.276979134
RC_EW_2144,54,352,0.104512476
RC_EW_2146,24,119,0.046465521
RC_EW_215,36,190,0.067094919
RC_EW_2151,28,188,0.054213514
RC_EW_2154,26,138,0.050414835
RC_EW_2157,39,263,0.075484384
RC_EW_216,28,194,0.052305978
RC_EW_2179,20,116,0.038781907
RC_EW_2183,101,67,0.195459834
RC_EW_2185,20,106,0.038858968
RC_EW_2188,160,700,0.309859967
RC_EW_2189,45,151,0.08718481
RC_EW_219,18,165,0.033672164
RC_EW_2192,95,465,0.184082617
RC_EW_2199,23,102,0.044618567
RC_EW_22,26,169,0.053491993
